#time MDC0  MDC1   DC2    DC3    0-2    1-3    1-2    2-3
176  0.570  0.080  0.011  0.115  0.587  0.000  0.057  0.059  # 191 jobs, 1.910 load
177  0.400  0.030  0.012  0.107  0.540  0.000  0.037  0.054  # 162 jobs, 1.620 load
178  0.360  0.010  0.008  0.135  0.670  0.000  0.020  0.067  # 180 jobs, 1.800 load
179  0.430  0.010  0.005  0.100  0.477  0.000  0.013  0.048  # 149 jobs, 1.490 load
180  0.580  0.020  0.003  0.112  0.547  0.000  0.017  0.055  # 175 jobs, 1.750 load
181  0.680  0.020  0.003  0.110  0.693  0.000  0.017  0.069  # 183 jobs, 1.830 load
182  0.600  0.020  0.001  0.114  0.577  0.000  0.017  0.058  # 177 jobs, 1.770 load
183  0.570  0.010  0.003  0.142  0.707  0.000  0.013  0.071  # 203 jobs, 2.030 load
184  0.680  0.020  0.005  0.130  0.663  0.000  0.023  0.066  # 205 jobs, 2.050 load
185  0.600  0.020  0.005  0.116  0.557  0.000  0.023  0.056  # 183 jobs, 1.830 load
186  0.710  0.020  0.005  0.088  0.637  0.000  0.023  0.064  # 166 jobs, 1.660 load
187  0.620  0.040  0.005  0.096  0.513  0.000  0.030  0.051  # 167 jobs, 1.670 load
188  0.670  0.040  0.006  0.079  0.467  0.000  0.033  0.047  # 156 jobs, 1.560 load
189  0.640  0.030  0.006  0.108  0.597  0.000  0.033  0.060  # 181 jobs, 1.810 load
190  0.750  0.040  0.009  0.085  0.483  0.000  0.047  0.048  # 173 jobs, 1.730 load
191  0.610  0.040  0.009  0.094  0.517  0.000  0.050  0.052  # 168 jobs, 1.680 load
192  0.580  0.050  0.013  0.112  0.520  0.000  0.070  0.052  # 188 jobs, 1.880 load
193  0.620  0.030  0.014  0.109  0.547  0.000  0.057  0.055  # 188 jobs, 1.880 load
194  0.510  0.070  0.015  0.106  0.533  0.000  0.073  0.053  # 179 jobs, 1.790 load
195  0.580  0.100  0.011  0.120  0.600  0.000  0.067  0.060  # 199 jobs, 1.990 load
196  0.490  0.070  0.013  0.119  0.603  0.000  0.067  0.060  # 188 jobs, 1.880 load
197  0.400  0.090  0.015  0.111  0.543  0.000  0.077  0.054  # 175 jobs, 1.750 load
198  0.490  0.070  0.022  0.099  0.477  0.000  0.097  0.048  # 177 jobs, 1.770 load
199  0.570  0.110  0.022  0.112  0.580  0.000  0.120  0.058  # 202 jobs, 2.020 load
200  0.560  0.110  0.025  0.099  0.517  0.000  0.120  0.052  # 191 jobs, 1.910 load
201  0.590  0.100  0.028  0.092  0.493  0.000  0.127  0.049  # 189 jobs, 1.890 load
202  0.530  0.150  0.027  0.086  0.460  0.000  0.137  0.046  # 181 jobs, 1.810 load
203  0.520  0.150  0.032  0.114  0.580  0.000  0.150  0.058  # 213 jobs, 2.130 load
204  0.580  0.090  0.026  0.091  0.473  0.000  0.117  0.047  # 184 jobs, 1.840 load
205  0.450  0.080  0.026  0.091  0.453  0.000  0.113  0.045  # 170 jobs, 1.700 load
206  0.510  0.090  0.036  0.106  0.527  0.000  0.153  0.053  # 202 jobs, 2.020 load
207  0.420  0.150  0.026  0.104  0.440  0.000  0.127  0.044  # 187 jobs, 1.870 load
208  0.430  0.150  0.021  0.075  0.387  0.000  0.123  0.039  # 154 jobs, 1.540 load
209  0.430  0.180  0.025  0.078  0.380  0.000  0.140  0.038  # 164 jobs, 1.640 load
210  0.290  0.210  0.024  0.085  0.370  0.000  0.157  0.037  # 159 jobs, 1.590 load
211  0.330  0.190  0.028  0.078  0.387  0.000  0.153  0.039  # 158 jobs, 1.580 load
212  0.280  0.290  0.029  0.072  0.340  0.000  0.190  0.034  # 158 jobs, 1.580 load
213  0.390  0.340  0.021  0.087  0.413  0.000  0.233  0.041  # 181 jobs, 1.810 load
214  0.270  0.180  0.025  0.062  0.293  0.000  0.137  0.029  # 132 jobs, 1.320 load
215  0.330  0.160  0.027  0.068  0.337  0.000  0.140  0.034  # 144 jobs, 1.440 load
216  0.480  0.210  0.028  0.062  0.363  0.000  0.157  0.036  # 159 jobs, 1.590 load
217  0.420  0.190  0.030  0.064  0.353  0.000  0.163  0.035  # 155 jobs, 1.550 load
218  0.400  0.260  0.028  0.071  0.370  0.000  0.173  0.037  # 165 jobs, 1.650 load
219  0.380  0.260  0.033  0.056  0.300  0.000  0.200  0.030  # 153 jobs, 1.530 load
220  0.450  0.250  0.034  0.060  0.327  0.000  0.197  0.033  # 164 jobs, 1.640 load
221  0.270  0.280  0.034  0.053  0.263  0.000  0.207  0.026  # 142 jobs, 1.420 load
222  0.170  0.220  0.044  0.065  0.230  0.000  0.220  0.023  # 148 jobs, 1.480 load
223  0.190  0.250  0.044  0.048  0.210  0.000  0.243  0.021  # 136 jobs, 1.360 load
224  0.170  0.230  0.048  0.048  0.223  0.000  0.217  0.022  # 136 jobs, 1.360 load
225  0.190  0.220  0.049  0.046  0.217  0.000  0.207  0.022  # 136 jobs, 1.360 load
226  0.190  0.120  0.056  0.036  0.183  0.000  0.213  0.018  # 123 jobs, 1.230 load
227  0.270  0.180  0.058  0.030  0.183  0.000  0.260  0.018  # 133 jobs, 1.330 load
228  0.260  0.210  0.058  0.044  0.243  0.000  0.240  0.024  # 149 jobs, 1.490 load
229  0.320  0.250  0.070  0.041  0.227  0.000  0.293  0.023  # 168 jobs, 1.680 load
230  0.280  0.300  0.051  0.044  0.210  0.000  0.257  0.021  # 153 jobs, 1.530 load
231  0.200  0.250  0.063  0.030  0.173  0.000  0.287  0.017  # 138 jobs, 1.380 load
232  0.180  0.190  0.052  0.029  0.157  0.000  0.233  0.016  # 118 jobs, 1.180 load
233  0.160  0.180  0.057  0.028  0.133  0.000  0.250  0.013  # 119 jobs, 1.190 load
234  0.110  0.210  0.053  0.024  0.113  0.000  0.243  0.011  # 109 jobs, 1.090 load
235  0.110  0.220  0.053  0.021  0.100  0.000  0.250  0.010  # 107 jobs, 1.070 load
236  0.120  0.220  0.058  0.024  0.113  0.000  0.260  0.011  # 116 jobs, 1.160 load
237  0.050  0.270  0.057  0.016  0.070  0.000  0.280  0.007  # 105 jobs, 1.050 load
238  0.040  0.230  0.049  0.015  0.070  0.000  0.240  0.007  # 91 jobs, 0.910 load
239  0.060  0.300  0.056  0.009  0.047  0.000  0.283  0.005  # 101 jobs, 1.010 load
240  0.040  0.350  0.058  0.006  0.033  0.000  0.320  0.003  # 103 jobs, 1.030 load
241  0.030  0.250  0.056  0.002  0.017  0.000  0.290  0.002  # 86 jobs, 0.860 load
242  0.050  0.290  0.049  0.003  0.027  0.000  0.257  0.003  # 86 jobs, 0.860 load
243  0.040  0.290  0.050  0.003  0.023  0.000  0.253  0.002  # 86 jobs, 0.860 load
244  0.060  0.290  0.053  0.003  0.030  0.000  0.290  0.003  # 91 jobs, 0.910 load
245  0.050  0.330  0.037  0.005  0.033  0.000  0.227  0.003  # 80 jobs, 0.800 load
246  0.070  0.310  0.043  0.009  0.053  0.000  0.243  0.005  # 90 jobs, 0.900 load
247  0.100  0.400  0.050  0.015  0.090  0.000  0.287  0.009  # 115 jobs, 1.150 load
248  0.070  0.320  0.048  0.020  0.087  0.000  0.273  0.009  # 107 jobs, 1.070 load
249  0.080  0.330  0.057  0.018  0.083  0.000  0.297  0.008  # 116 jobs, 1.160 load
250  0.100  0.310  0.072  0.019  0.093  0.000  0.360  0.009  # 132 jobs, 1.320 load
251  0.100  0.270  0.049  0.028  0.130  0.000  0.247  0.013  # 114 jobs, 1.140 load
252  0.120  0.380  0.054  0.028  0.133  0.000  0.300  0.013  # 132 jobs, 1.320 load
253  0.160  0.310  0.044  0.026  0.137  0.000  0.247  0.014  # 117 jobs, 1.170 load
254  0.210  0.300  0.049  0.032  0.163  0.000  0.267  0.016  # 132 jobs, 1.320 load
255  0.180  0.350  0.039  0.035  0.180  0.000  0.243  0.018  # 127 jobs, 1.270 load
256  0.200  0.290  0.044  0.044  0.213  0.000  0.257  0.021  # 137 jobs, 1.370 load
257  0.220  0.250  0.055  0.044  0.210  0.000  0.300  0.021  # 146 jobs, 1.460 load
258  0.300  0.240  0.047  0.047  0.250  0.000  0.250  0.025  # 148 jobs, 1.480 load
259  0.320  0.160  0.053  0.061  0.293  0.000  0.230  0.029  # 162 jobs, 1.620 load
260  0.330  0.220  0.055  0.048  0.273  0.000  0.257  0.027  # 158 jobs, 1.580 load
261  0.360  0.330  0.054  0.064  0.340  0.000  0.343  0.034  # 187 jobs, 1.870 load
262  0.290  0.300  0.059  0.060  0.293  0.000  0.290  0.029  # 178 jobs, 1.780 load
263  0.360  0.440  0.068  0.062  0.373  0.000  0.407  0.037  # 210 jobs, 2.100 load
264  0.280  0.420  0.068  0.063  0.290  0.000  0.367  0.029  # 201 jobs, 2.010 load
265  0.230  0.450  0.065  0.078  0.357  0.000  0.357  0.036  # 211 jobs, 2.110 load
266  0.230  0.350  0.067  0.091  0.427  0.000  0.340  0.043  # 216 jobs, 2.160 load
267  0.220  0.410  0.064  0.069  0.317  0.000  0.343  0.032  # 196 jobs, 1.960 load
268  0.290  0.520  0.063  0.078  0.343  0.000  0.343  0.034  # 222 jobs, 2.220 load
269  0.230  0.390  0.079  0.059  0.273  0.000  0.377  0.027  # 200 jobs, 2.000 load
270  0.270  0.510  0.097  0.070  0.323  0.000  0.480  0.032  # 245 jobs, 2.450 load
271  0.270  0.410  0.078  0.084  0.377  0.000  0.397  0.038  # 230 jobs, 2.300 load
272  0.240  0.490  0.074  0.079  0.353  0.000  0.377  0.035  # 226 jobs, 2.260 load
