,,,,instant,0,1,2,3,(0-2),(1-3),(1-2),(2-3)
,,,,187,0.620,0.040,0.005,0.096,0.513,0.000,0.030,0.051
,,,,188,0.670,0.040,0.006,0.079,0.467,0.000,0.033,0.047
,,,,189,0.640,0.030,0.006,0.108,0.597,0.000,0.033,0.060
,,,,190,0.750,0.040,0.009,0.085,0.483,0.000,0.047,0.048
,,,,191,0.610,0.040,0.009,0.094,0.517,0.000,0.050,0.052
,,,,192,0.580,0.050,0.013,0.112,0.520,0.000,0.070,0.052
,,,,193,0.620,0.030,0.014,0.109,0.547,0.000,0.057,0.055
,,,,194,0.510,0.070,0.015,0.106,0.533,0.000,0.073,0.053
,,,,195,0.580,0.100,0.011,0.120,0.600,0.000,0.067,0.060
,,,,196,0.490,0.070,0.013,0.119,0.603,0.000,0.067,0.060
,,,,197,0.400,0.090,0.015,0.111,0.543,0.000,0.077,0.054
,,,,198,0.490,0.070,0.022,0.099,0.477,0.000,0.097,0.048
,,,,199,0.570,0.110,0.022,0.112,0.580,0.000,0.120,0.058
,,,,200,0.560,0.110,0.025,0.099,0.517,0.000,0.120,0.052
,,,,201,0.590,0.100,0.028,0.092,0.493,0.000,0.127,0.049
,,,,202,0.530,0.150,0.027,0.086,0.460,0.000,0.137,0.046
,,,,203,0.520,0.150,0.032,0.114,0.580,0.000,0.150,0.058
,,,,204,0.580,0.090,0.026,0.091,0.473,0.000,0.117,0.047
,,,,205,0.450,0.080,0.026,0.091,0.453,0.000,0.113,0.045
,,,,206,0.510,0.090,0.036,0.106,0.527,0.000,0.153,0.053
,,,,207,0.420,0.150,0.026,0.104,0.440,0.000,0.127,0.044
,,,,208,0.430,0.150,0.021,0.075,0.387,0.000,0.123,0.039
,,,,209,0.430,0.180,0.025,0.078,0.380,0.000,0.140,0.038
,,,,210,0.290,0.210,0.024,0.085,0.370,0.000,0.157,0.037
,,,,211,0.330,0.190,0.028,0.078,0.387,0.000,0.153,0.039
,,,,212,0.280,0.290,0.029,0.072,0.340,0.000,0.190,0.034
,,,,213,0.390,0.340,0.021,0.087,0.413,0.000,0.233,0.041
,,,,214,0.270,0.180,0.025,0.062,0.293,0.000,0.137,0.029
,,,,215,0.330,0.160,0.027,0.068,0.337,0.000,0.140,0.034
,,,,216,0.480,0.210,0.028,0.062,0.363,0.000,0.157,0.036
,,,,217,0.420,0.190,0.030,0.064,0.353,0.000,0.163,0.035
,,,,218,0.400,0.260,0.028,0.071,0.370,0.000,0.173,0.037
,,,,219,0.380,0.260,0.033,0.056,0.300,0.000,0.200,0.030
,,,,220,0.450,0.250,0.034,0.060,0.327,0.000,0.197,0.033
,,,,221,0.270,0.280,0.034,0.053,0.263,0.000,0.207,0.026
