selected,total,duration,solving_time,instant,1,2,3,"(1, 3)","(2, 3)","(3, 1)","(3, 2)","(4, 3)"
0.0,0.0,0.0,0.0,167.0,0.0,0.69,0.147,0.36,0.065,0.0,0.23,0.036
0.0,0.0,0.0,0.0,168.0,0.0,0.69,0.141,0.35,0.06,0.0,0.23,0.035
0.0,0.0,0.0,0.0,169.0,0.0,0.72,0.132,0.34,0.05,0.0,0.24,0.034
0.0,0.0,0.0,0.0,170.0,0.0,0.72,0.126,0.33,0.045,0.0,0.24,0.033
0.0,0.0,0.0,0.0,171.0,0.0,0.72,0.12,0.32,0.04,0.0,0.24,0.032
0.0,0.0,0.0,0.0,172.0,0.0,0.72,0.114,0.31,0.035,0.0,0.24,0.031
0.0,0.0,0.0,0.0,173.0,0.0,0.72,0.108,0.3,0.03,0.0,0.24,0.03
0.0,0.0,0.0,0.0,174.0,0.0,0.72,0.102,0.29,0.025,0.0,0.24,0.029
0.0,0.0,0.0,0.0,175.0,0.0,0.72,0.096,0.28,0.02,0.0,0.24,0.028
0.0,0.0,0.0,0.0,176.0,0.0,0.72,0.09,0.27,0.015,0.0,0.24,0.027
0.0,0.0,0.0,0.0,177.0,0.0,0.72,0.084,0.26,0.01,0.0,0.24,0.026
0.0,0.0,0.0,0.0,178.0,0.0,0.72,0.078,0.25,0.005,0.0,0.24,0.025
0.0,0.0,0.0,0.0,179.0,0.0,0.69,0.075,0.24,0.005,0.0,0.23,0.024
0.0,0.0,0.0,0.0,180.0,0.0,0.66,0.072,0.23,0.005,0.0,0.22,0.023
0.0,0.0,0.0,0.0,181.0,0.0,0.66,0.066,0.22,0.0,0.0,0.22,0.022
0.0,0.0,0.0,0.0,182.0,0.0,0.63,0.063,0.21,0.0,0.0,0.21,0.021
0.0,0.0,0.0,0.0,183.0,0.0,0.6,0.06,0.2,0.0,0.0,0.2,0.02
0.0,0.0,0.0,0.0,184.0,0.0,0.57,0.057,0.19,0.0,0.0,0.19,0.019
